unix_timestamp,yaw,pitch,roll
1788787865.9448812,101.59,-5.3,-5.83
1788787866.1814277,101.57,-5.31,-5.77
1788787866.373315,101.62,-5.36,-5.79
1788787866.552976,101.64,-5.38,-5.81
1788787866.7828636,101.59,-5.4,-5.78
1788787866.9548793,101.43,-5.46,-5.79
1788787867.1531405,101.54,-5.47,-5.83
1788787867.4128933,101.58,-5.49,-5.84
1788787867.5433803,101.49,-5.45,-5.8
1788787867.8024423,101.5,-5.43,-5.84
1788787867.9931393,101.42,-5.39,-5.79
1788787868.1902099,101.57,-5.38,-5.86
1788787868.3923652,101.49,-5.34,-5.83
1788787868.5559819,101.42,-5.32,-5.92
1788787868.761231,101.34,-5.33,-5.83
1788787868.9659708,101.41,-5.36,-5.8
1788787869.2065065,101.36,-5.42,-5.79
1788787869.3916838,101.36,-5.48,-5.75
1788787869.6184008,101.4,-5.55,-5.74
1788787869.7779915,101.45,-5.6,-5.75
1788787869.999396,101.46,-5.62,-5.74
1788787870.2234519,101.35,-5.67,-5.74
1788787870.4080563,101.44,-5.65,-5.73
1788787870.6501024,101.42,-5.72,-5.8
1788787870.8717551,101.41,-5.75,-5.73
1788787871.0596302,101.39,-5.8,-5.72
1788787871.246186,101.38,-5.81,-5.68
1788787871.4321804,101.37,-5.86,-5.68
1788787871.6200008,101.34,-5.85,-5.67
1788787871.850599,101.44,-5.84,-5.69
1788787872.0511296,101.33,-5.81,-5.63
1788787872.272459,101.34,-5.81,-5.63
1788787872.5022643,101.33,-5.82,-5.63
1788787872.684036,101.32,-5.8,-5.55
1788787872.8767774,101.33,-5.84,-5.58
1788787873.125075,101.25,-5.82,-5.46
1788787873.2765994,101.1,-5.86,-5.47
1788787873.5232246,101.25,-5.89,-5.42
1788787873.7208068,101.22,-5.85,-5.39
1788787873.9273536,101.3,-5.94,-5.43
1788787874.097701,101.38,-5.94,-5.37
1788787874.2904928,101.21,-5.95,-5.37
1788787874.508673,101.29,-6.0,-5.36
1788787874.7446709,109.35,-5.27,-5.96
1788787874.9208608,135.12,-2.39,-7.77
1788787875.1264179,158.76,0.86,-8.09
1788787875.3866913,162.16,1.25,-7.98
1788787875.56357,163.08,1.36,-7.92
1788787875.7444277,163.63,1.45,-7.89
1788787875.9845653,163.62,1.41,-7.93
1788787876.1529477,163.68,1.42,-7.9
1788787876.3900874,163.69,1.4,-7.94
1788787876.570406,163.69,1.37,-8.0
1788787876.7509687,163.79,1.34,-8.01
1788787877.0029938,163.66,1.26,-8.01
1788787877.151747,163.69,1.23,-7.99
1788787877.4052253,163.67,1.22,-7.97
1788787877.6716776,163.75,1.22,-7.95
1788787877.78382,163.62,1.14,-7.94
1788787878.0216615,163.62,1.23,-8.02
1788787878.2190068,163.48,1.22,-8.02
1788787878.4046388,163.44,1.31,-7.98
1788787878.6397436,163.54,1.42,-7.96
1788787878.7996154,163.65,1.59,-8.01
1788787879.0361218,163.59,1.71,-8.0
1788787879.2261019,163.69,1.8,-8.05
1788787879.4037328,163.39,1.82,-8.15
1788787879.6372027,163.48,1.89,-8.39
1788787879.8276734,163.44,1.9,-8.39
1788787880.0245292,163.49,1.87,-8.34
1788787880.228545,163.34,1.8,-8.32
1788787880.4430306,163.4,1.78,-8.33
1788787880.6601648,163.47,1.79,-8.36
1788787880.8271337,163.48,1.74,-8.35
1788787881.0443847,163.46,1.69,-8.36
1788787881.2699804,163.31,1.7,-8.37
1788787881.472492,163.46,1.69,-8.38
1788787881.6499662,163.38,1.64,-8.41
1788787881.9154825,163.44,1.61,-8.38
1788787882.1076374,163.29,1.62,-8.4
1788787882.2778392,163.37,1.59,-8.39
1788787882.4935172,163.48,1.48,-8.38
1788787882.6845722,163.34,1.38,-8.36
1788787882.8958874,163.34,1.29,-8.37
1788787883.0906065,163.45,1.22,-8.35
1788787883.27957,163.47,1.1,-8.41
1788787883.548207,163.4,1.05,-8.28
1788787883.6982505,163.61,0.98,-8.27
1788787883.9028535,163.4,0.96,-8.26
1788787884.1531382,163.28,0.89,-8.26
1788787884.3223407,163.4,0.92,-8.32
1788787884.5043383,163.47,0.89,-8.28
1788787884.709913,171.02,1.89,-8.01
1788787884.986211,-163.03,4.99,-6.56
1788787885.1976326,-134.3,7.33,-3.34
1788787885.3626034,-104.69,7.75,0.61
1788787885.5497677,-98.78,7.62,1.54
1788787885.7319818,-97.1,7.45,1.83
1788787885.9748716,-96.49,7.4,1.94
1788787886.2249162,-96.27,7.34,1.88
1788787886.378057,-96.21,7.31,1.88
1788787886.562434,-84.34,6.59,3.47
1788787886.7715557,-58.0,4.25,5.88
1788787886.969756,-29.43,0.67,7.21
1788787887.2017732,-12.26,-1.59,6.98
1788787887.4476428,-9.53,-2.06,6.99
1788787887.595538,-8.66,-2.19,6.99
1788787887.805353,-8.32,-2.28,6.93
1788787888.027175,-8.25,-2.34,6.93
1788787888.1948469,-8.27,-2.33,6.92
1788787888.4295175,-8.28,-2.32,6.92
1788787888.593958,-8.15,-2.37,6.88
1788787888.8271346,-8.33,-2.33,6.91
1788787888.9901886,-8.32,-2.4,6.88
1788787889.263086,-8.24,-2.51,6.91
1788787889.4215431,-8.3,-2.6,6.88
1788787889.6131792,-8.36,-2.64,6.88
1788787889.8358803,-8.49,-2.72,6.9
1788787890.0131469,-8.47,-2.73,6.94
1788787890.2529936,-8.59,-2.56,6.99
